variant,seed,success,reached_goal,collision,final_dist,min_clearance,path_length,control_effort,control_smoothness,steps,runtime_sec,runtime_per_step_sec
full_swarm_prior_mppi,0,True,True,False,0.13312688005208198,0.49380992758424685,12.76656705251799,153.66746324215606,1.7778439750666155,78,2.442876361001254,0.03131892770514428
gaussian_prior_mppi,0,True,True,False,0.13953884725388702,0.43417473305249216,12.547449496256107,153.14304410239575,1.9577510053031584,75,0.34931969299941557,0.004657595906658874
empirical_init_mppi,0,True,True,False,0.09351535010580232,0.46701486858089675,12.910307457350346,162.838274593914,1.284444920848597,73,1.5704738560016267,0.02151334049317297
homotopy_seeded_mppi,0,True,True,False,0.11780826721955974,0.45550874611518893,12.59306105964442,151.60553014191552,1.2165374047441402,76,1.9645861690005404,0.025849818013165004
corridor_prior_mppi,0,True,True,False,0.13269591715043644,0.4240289756087618,12.607360803879754,153.02448673875907,2.6149721027661306,80,1.791963397001382,0.022399542462517276
frenet_corridor_mppi,0,True,True,False,0.11048216667606613,0.4255945026654265,14.491645346500452,185.56293116055738,6.373634007597551,101,2.278834602002462,0.022562718831707542
heatmap_prior_mppi,0,True,True,False,0.09187985592417355,0.4474481483729556,12.611832762943935,150.87585205748593,1.393972705317526,78,1.7429492909977853,0.02234550373074084
control_bank_mppi,0,True,True,False,0.09351535010589462,0.46701486858177427,12.910307457351445,162.83827459394868,1.2844449208542297,73,1.667232708998199,0.022838804232852044
mode_selecting_homotopy_mppi,0,True,True,False,0.1114566639931055,0.4696883182364154,12.746432317601032,161.07942346319476,2.5251098723636334,74,1.3813939319989004,0.018667485567552707
mode_selecting_corridor_mppi,0,True,True,False,0.13576197537800155,0.39842229007289337,12.687013172281402,154.87213658989322,3.7882597166923304,79,1.5014297070010798,0.019005439329127592
standard_mppi,0,True,True,False,0.09658245686319279,0.41133501665915256,12.436214786039468,156.25393588186122,0.739056296112427,70,0.36017180400085635,0.005145311485726519
standard_mpc,0,True,True,False,0.14094809181584705,0.5555901808845498,12.808987283902315,162.17144060417303,0.7669647284939729,85,0.6235597179984325,0.0073359966823345
homotopy_mean_mpc,0,False,False,False,0.664564463173363,0.5073378079179216,12.075676271601019,154.97380318386985,5.737217103160955,120,1.13979322600062,0.009498276883338501
