condition,variant,failure_reason,count,percent_of_failures,failure_trials,total_trials_with_outcome
dynamic_wall,control_bank_mppi,not_reaching,10,100.0,10,40
dynamic_wall,corridor_prior_mppi,not_reaching,12,100.0,12,40
dynamic_wall,empirical_init_mppi,not_reaching,10,100.0,10,40
dynamic_wall,frenet_corridor_mppi,not_reaching,2,100.0,2,40
dynamic_wall,full_swarm_prior_mppi,not_reaching,14,100.0,14,40
dynamic_wall,gaussian_prior_mppi,not_reaching,15,100.0,15,40
dynamic_wall,heatmap_prior_mppi,not_reaching,15,100.0,15,40
dynamic_wall,homotopy_seeded_mppi,not_reaching,14,100.0,14,40
dynamic_wall,mode_selecting_corridor_mppi,not_reaching,15,100.0,15,40
dynamic_wall,mode_selecting_homotopy_mppi,not_reaching,15,100.0,15,40
dynamic_wall,standard_mppi,not_reaching,19,100.0,19,40
no_wall,heatmap_prior_mppi,not_reaching,1,100.0,1,10
no_wall,homotopy_seeded_mppi,not_reaching,1,100.0,1,10
static_wall,control_bank_mppi,not_reaching,2,100.0,2,40
static_wall,empirical_init_mppi,not_reaching,2,100.0,2,40
static_wall,heatmap_prior_mppi,not_reaching,1,100.0,1,40
static_wall,standard_mppi,not_reaching,15,100.0,15,40
