condition,variant,metric,source_column,mean,std,n,sample_scope
dynamic_wall,control_bank_mppi,control_effort,control_effort,180.35475426105788,22.56885499737534,30,successful trials only
dynamic_wall,control_bank_mppi,steps,steps,75.36666666666666,12.05299600280686,30,successful trials only
dynamic_wall,control_bank_mppi,runtime_per_step_sec,runtime_per_step_sec,0.04808261678153515,0.011595591558064899,40,all trials with valid values
dynamic_wall,control_bank_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.635173130413987,0.21054606020232788,30,successful trials only
dynamic_wall,control_bank_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,0.7157735346194845,0.2160923935444058,30,successful trials only
dynamic_wall,corridor_prior_mppi,control_effort,control_effort,183.5761292578448,21.208690206226873,28,successful trials only
dynamic_wall,corridor_prior_mppi,steps,steps,89.25,13.7291930112713,28,successful trials only
dynamic_wall,corridor_prior_mppi,runtime_per_step_sec,runtime_per_step_sec,0.04227703829379369,0.00913949641748791,40,all trials with valid values
dynamic_wall,corridor_prior_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,1.005555436832144,0.36801117907177705,28,successful trials only
dynamic_wall,corridor_prior_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,1.1057902318966362,0.37276668927694234,28,successful trials only
dynamic_wall,empirical_init_mppi,control_effort,control_effort,180.35475426105788,22.56885499737534,30,successful trials only
dynamic_wall,empirical_init_mppi,steps,steps,75.36666666666666,12.05299600280686,30,successful trials only
dynamic_wall,empirical_init_mppi,runtime_per_step_sec,runtime_per_step_sec,0.04534900823442615,0.010951946431237094,40,all trials with valid values
dynamic_wall,empirical_init_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.635173130413987,0.21054606020232788,30,successful trials only
dynamic_wall,empirical_init_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,0.7157735346194845,0.2160923935444058,30,successful trials only
dynamic_wall,frenet_corridor_mppi,control_effort,control_effort,186.99896004477102,18.64803054442968,38,successful trials only
dynamic_wall,frenet_corridor_mppi,steps,steps,87.44736842105263,9.887741163686318,38,successful trials only
dynamic_wall,frenet_corridor_mppi,runtime_per_step_sec,runtime_per_step_sec,0.0421294679406687,0.009049366571106639,40,all trials with valid values
dynamic_wall,frenet_corridor_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.9976319208231208,0.417393199561607,38,successful trials only
dynamic_wall,frenet_corridor_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,1.1476580870720807,0.5161711219209555,38,successful trials only
dynamic_wall,full_swarm_prior_mppi,control_effort,control_effort,174.3612983304575,23.694104950864418,26,successful trials only
dynamic_wall,full_swarm_prior_mppi,steps,steps,94.96153846153847,12.568152670080895,26,successful trials only
dynamic_wall,full_swarm_prior_mppi,runtime_per_step_sec,runtime_per_step_sec,0.04027976867890718,0.008454592372687843,40,all trials with valid values
dynamic_wall,full_swarm_prior_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.7849910951720885,0.27803886331819566,26,successful trials only
dynamic_wall,full_swarm_prior_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,0.8468417363311477,0.3362092141778675,26,successful trials only
dynamic_wall,gaussian_prior_mppi,control_effort,control_effort,166.71543561593154,22.14805494432057,25,successful trials only
dynamic_wall,gaussian_prior_mppi,steps,steps,94.0,9.371943946339698,25,successful trials only
dynamic_wall,gaussian_prior_mppi,runtime_per_step_sec,runtime_per_step_sec,0.006731052845594265,0.0009944500697213919,40,all trials with valid values
dynamic_wall,gaussian_prior_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.5223211081230462,0.1532279439245507,25,successful trials only
dynamic_wall,gaussian_prior_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,0.5549611779150788,0.15372830899089251,25,successful trials only
dynamic_wall,heatmap_prior_mppi,control_effort,control_effort,174.8896346859527,24.1615548299648,25,successful trials only
dynamic_wall,heatmap_prior_mppi,steps,steps,90.0,16.89427911059441,25,successful trials only
dynamic_wall,heatmap_prior_mppi,runtime_per_step_sec,runtime_per_step_sec,0.04215410049552125,0.009225164541550266,40,all trials with valid values
