condition,variant,trials,Success,Failure reasons,Control roughness overall (mean/transition),Control roughness after wall (mean/transition),Control effort,Number of steps,Average time per step (s)
dynamic_wall,control_bank_mppi,40,30/40 (75.0%),not_reaching: 10 (100.0%),0.635 +/- 0.211 (n=30),0.716 +/- 0.216 (n=30),180.355 +/- 22.569 (n=30),75.367 +/- 12.053 (n=30),0.048 +/- 0.012 (n=40)
dynamic_wall,corridor_prior_mppi,40,28/40 (70.0%),not_reaching: 12 (100.0%),1.006 +/- 0.368 (n=28),1.106 +/- 0.373 (n=28),183.576 +/- 21.209 (n=28),89.250 +/- 13.729 (n=28),0.042 +/- 0.009 (n=40)
dynamic_wall,empirical_init_mppi,40,30/40 (75.0%),not_reaching: 10 (100.0%),0.635 +/- 0.211 (n=30),0.716 +/- 0.216 (n=30),180.355 +/- 22.569 (n=30),75.367 +/- 12.053 (n=30),0.045 +/- 0.011 (n=40)
dynamic_wall,frenet_corridor_mppi,40,38/40 (95.0%),not_reaching: 2 (100.0%),0.998 +/- 0.417 (n=38),1.148 +/- 0.516 (n=38),186.999 +/- 18.648 (n=38),87.447 +/- 9.888 (n=38),0.042 +/- 0.009 (n=40)
dynamic_wall,full_swarm_prior_mppi,40,26/40 (65.0%),not_reaching: 14 (100.0%),0.785 +/- 0.278 (n=26),0.847 +/- 0.336 (n=26),174.361 +/- 23.694 (n=26),94.962 +/- 12.568 (n=26),0.040 +/- 0.008 (n=40)
dynamic_wall,gaussian_prior_mppi,40,25/40 (62.5%),not_reaching: 15 (100.0%),0.522 +/- 0.153 (n=25),0.555 +/- 0.154 (n=25),166.715 +/- 22.148 (n=25),94.000 +/- 9.372 (n=25),0.007 +/- 0.001 (n=40)
dynamic_wall,heatmap_prior_mppi,40,25/40 (62.5%),not_reaching: 15 (100.0%),0.690 +/- 0.219 (n=25),0.691 +/- 0.239 (n=25),174.890 +/- 24.162 (n=25),90.000 +/- 16.894 (n=25),0.042 +/- 0.009 (n=40)
dynamic_wall,homotopy_seeded_mppi,40,26/40 (65.0%),not_reaching: 14 (100.0%),0.702 +/- 0.228 (n=26),0.698 +/- 0.266 (n=26),183.896 +/- 28.018 (n=26),82.192 +/- 19.539 (n=26),0.042 +/- 0.009 (n=40)
dynamic_wall,mode_selecting_corridor_mppi,40,25/40 (62.5%),not_reaching: 15 (100.0%),0.858 +/- 0.244 (n=25),0.908 +/- 0.254 (n=25),180.034 +/- 20.401 (n=25),87.200 +/- 9.789 (n=25),0.024 +/- 0.002 (n=40)
dynamic_wall,mode_selecting_homotopy_mppi,40,25/40 (62.5%),not_reaching: 15 (100.0%),0.696 +/- 0.290 (n=25),0.773 +/- 0.364 (n=25),180.355 +/- 24.948 (n=25),77.040 +/- 10.342 (n=25),0.023 +/- 0.002 (n=40)
dynamic_wall,standard_mppi,40,21/40 (52.5%),not_reaching: 19 (100.0%),0.209 +/- 0.094 (n=21),0.176 +/- 0.056 (n=21),153.390 +/- 9.304 (n=21),70.048 +/- 13.927 (n=21),0.003 +/- 0.000 (n=40)
no_wall,control_bank_mppi,10,10/10 (100.0%),none,0.591 +/- 0.158 (n=10),-,166.645 +/- 9.523 (n=10),68.800 +/- 2.440 (n=10),0.048 +/- 0.012 (n=10)
no_wall,corridor_prior_mppi,10,10/10 (100.0%),none,0.972 +/- 0.445 (n=10),-,170.467 +/- 10.726 (n=10),81.700 +/- 4.692 (n=10),0.043 +/- 0.009 (n=10)
no_wall,empirical_init_mppi,10,10/10 (100.0%),none,0.591 +/- 0.158 (n=10),-,166.645 +/- 9.523 (n=10),68.800 +/- 2.440 (n=10),0.046 +/- 0.012 (n=10)
no_wall,frenet_corridor_mppi,10,10/10 (100.0%),none,0.872 +/- 0.440 (n=10),-,180.186 +/- 11.803 (n=10),83.300 +/- 6.038 (n=10),0.043 +/- 0.009 (n=10)
no_wall,full_swarm_prior_mppi,10,10/10 (100.0%),none,0.695 +/- 0.247 (n=10),-,158.904 +/- 7.839 (n=10),90.200 +/- 5.029 (n=10),0.042 +/- 0.011 (n=10)
no_wall,gaussian_prior_mppi,10,10/10 (100.0%),none,0.487 +/- 0.158 (n=10),-,154.689 +/- 11.637 (n=10),90.100 +/- 4.557 (n=10),0.007 +/- 0.001 (n=10)
no_wall,heatmap_prior_mppi,10,9/10 (90.0%),not_reaching: 1 (100.0%),0.597 +/- 0.145 (n=9),-,156.534 +/- 7.147 (n=9),79.556 +/- 4.475 (n=9),0.042 +/- 0.009 (n=10)
no_wall,homotopy_seeded_mppi,10,9/10 (90.0%),not_reaching: 1 (100.0%),0.660 +/- 0.161 (n=9),-,165.273 +/- 5.504 (n=9),70.000 +/- 2.236 (n=9),0.043 +/- 0.010 (n=10)
no_wall,mode_selecting_corridor_mppi,10,10/10 (100.0%),none,0.839 +/- 0.269 (n=10),-,171.795 +/- 8.637 (n=10),83.100 +/- 3.479 (n=10),0.024 +/- 0.002 (n=10)
no_wall,mode_selecting_homotopy_mppi,10,10/10 (100.0%),none,0.592 +/- 0.230 (n=10),-,168.282 +/- 16.759 (n=10),71.700 +/- 5.334 (n=10),0.023 +/- 0.002 (n=10)
no_wall,standard_mppi,10,10/10 (100.0%),none,0.197 +/- 0.079 (n=10),-,150.584 +/- 6.411 (n=10),67.400 +/- 11.217 (n=10),0.003 +/- 0.001 (n=10)
static_wall,control_bank_mppi,40,38/40 (95.0%),not_reaching: 2 (100.0%),0.602 +/- 0.245 (n=38),0.602 +/- 0.245 (n=38),181.090 +/- 31.837 (n=38),74.079 +/- 9.598 (n=38),0.027 +/- 0.007 (n=40)
static_wall,corridor_prior_mppi,40,40/40 (100.0%),none,0.914 +/- 0.317 (n=40),0.914 +/- 0.317 (n=40),178.834 +/- 15.210 (n=40),86.925 +/- 5.740 (n=40),0.024 +/- 0.006 (n=40)
static_wall,empirical_init_mppi,40,38/40 (95.0%),not_reaching: 2 (100.0%),0.602 +/- 0.245 (n=38),0.602 +/- 0.245 (n=38),181.090 +/- 31.837 (n=38),74.079 +/- 9.598 (n=38),0.025 +/- 0.007 (n=40)
