condition,variant,failure_reason,count,percent_of_failures,failure_trials,total_trials_with_outcome
dynamic_wall,control_bank_mppi,not_reaching,81,100.0,81,400
dynamic_wall,corridor_prior_mppi,collision,1,0.9090909090909091,110,400
dynamic_wall,corridor_prior_mppi,not_reaching,109,99.0909090909091,110,400
dynamic_wall,frenet_corridor_mppi,not_reaching,115,100.0,115,400
dynamic_wall,full_swarm_prior_mppi,not_reaching,87,100.0,87,400
dynamic_wall,gaussian_prior_mppi,not_reaching,138,100.0,138,400
dynamic_wall,mode_selecting_corridor_mppi,not_reaching,102,100.0,102,400
dynamic_wall,mode_selecting_gaussian_mppi,not_reaching,127,100.0,127,400
dynamic_wall,standard_mppi,not_reaching,346,100.0,346,400
dynamic_wall,standard_mppi_128_rollouts,not_reaching,310,100.0,310,400
no_wall,corridor_prior_mppi,not_reaching,2,100.0,2,100
no_wall,frenet_corridor_mppi,not_reaching,2,100.0,2,100
no_wall,gaussian_prior_mppi,not_reaching,1,100.0,1,100
no_wall,mode_selecting_gaussian_mppi,not_reaching,1,100.0,1,100
no_wall,standard_mppi,not_reaching,61,100.0,61,100
no_wall,standard_mppi_128_rollouts,not_reaching,46,100.0,46,100
static_wall,control_bank_mppi,not_reaching,6,100.0,6,400
static_wall,corridor_prior_mppi,not_reaching,10,100.0,10,400
static_wall,frenet_corridor_mppi,not_reaching,5,100.0,5,400
static_wall,full_swarm_prior_mppi,not_reaching,2,100.0,2,400
static_wall,gaussian_prior_mppi,not_reaching,7,100.0,7,400
static_wall,mode_selecting_corridor_mppi,not_reaching,2,100.0,2,400
static_wall,mode_selecting_gaussian_mppi,not_reaching,3,100.0,3,400
static_wall,standard_mppi,not_reaching,340,100.0,340,400
static_wall,standard_mppi_128_rollouts,collision,1,0.3194888178913738,313,400
static_wall,standard_mppi_128_rollouts,not_reaching,312,99.68051118210863,313,400
