condition,variant,metric,source_column,mean,std,n,sample_scope
dynamic_wall,control_bank_mppi,control_effort,control_effort,110.6450839615839,36.92309846656288,296,successful trials only
dynamic_wall,control_bank_mppi,steps,steps,63.0472972972973,12.579959558804044,296,successful trials only
dynamic_wall,control_bank_mppi,runtime_per_step_sec,runtime_per_step_sec,0.006800083821825048,0.001046699123311528,296,successful trials only
dynamic_wall,control_bank_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.8105140529688317,0.32392784264333213,296,successful trials only
dynamic_wall,control_bank_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,0.5185463715561484,0.33128718982803945,296,successful trials only
dynamic_wall,corridor_prior_mppi,control_effort,control_effort,117.57915272987958,34.818190644828896,285,successful trials only
dynamic_wall,corridor_prior_mppi,steps,steps,63.30175438596491,14.245341358929208,285,successful trials only
dynamic_wall,corridor_prior_mppi,runtime_per_step_sec,runtime_per_step_sec,0.005209971701843733,0.0010296859481533354,285,successful trials only
dynamic_wall,corridor_prior_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.7718182268210316,0.24031916841587359,285,successful trials only
dynamic_wall,corridor_prior_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,0.6047258486298095,0.29071960795557145,285,successful trials only
dynamic_wall,frenet_corridor_mppi,control_effort,control_effort,107.72623065864136,32.64349651239077,259,successful trials only
dynamic_wall,frenet_corridor_mppi,steps,steps,65.8069498069498,13.56328084100191,259,successful trials only
dynamic_wall,frenet_corridor_mppi,runtime_per_step_sec,runtime_per_step_sec,0.007269773267034574,0.0010400081281791043,259,successful trials only
dynamic_wall,frenet_corridor_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.5614720592086219,0.2345779154644852,259,successful trials only
dynamic_wall,frenet_corridor_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,0.46788920590611005,0.2730876462444573,259,successful trials only
dynamic_wall,gaussian_prior_mppi,control_effort,control_effort,107.56629001638993,34.65658904750158,262,successful trials only
dynamic_wall,gaussian_prior_mppi,steps,steps,65.73664122137404,14.005585673390911,262,successful trials only
dynamic_wall,gaussian_prior_mppi,runtime_per_step_sec,runtime_per_step_sec,0.007790949095034356,0.0010748313503092253,262,successful trials only
dynamic_wall,gaussian_prior_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.5482524597468776,0.2265695012085094,262,successful trials only
dynamic_wall,gaussian_prior_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,0.4761371212187004,0.26059719635656425,262,successful trials only
dynamic_wall,standard_mppi,control_effort,control_effort,113.75409316030506,36.592398772402326,42,successful trials only
dynamic_wall,standard_mppi,steps,steps,51.88095238095238,13.178331033440667,42,successful trials only
dynamic_wall,standard_mppi,runtime_per_step_sec,runtime_per_step_sec,0.0027813547587955023,0.00039427525109968773,42,successful trials only
dynamic_wall,standard_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.6731127999814881,0.29650997278887176,42,successful trials only
dynamic_wall,standard_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,0.6374777951778603,0.34800169590121705,42,successful trials only
no_wall,control_bank_mppi,control_effort,control_effort,105.08128593461963,27.742336894971345,96,successful trials only
no_wall,control_bank_mppi,steps,steps,56.28125,7.48149031733792,96,successful trials only
no_wall,control_bank_mppi,runtime_per_step_sec,runtime_per_step_sec,0.004972054026039363,0.0006421591670441471,96,successful trials only
no_wall,control_bank_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.8220670156018484,0.31153121256706584,96,successful trials only
no_wall,control_bank_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,,,0,successful trials only
no_wall,corridor_prior_mppi,control_effort,control_effort,103.02753592251067,23.363254492875466,92,successful trials only
no_wall,corridor_prior_mppi,steps,steps,55.130434782608695,8.16615555277901,92,successful trials only
no_wall,corridor_prior_mppi,runtime_per_step_sec,runtime_per_step_sec,0.00317877038859058,0.0003742119527492828,92,successful trials only
no_wall,corridor_prior_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.7058417155384459,0.23575039550597898,92,successful trials only
no_wall,corridor_prior_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,,,0,successful trials only
no_wall,frenet_corridor_mppi,control_effort,control_effort,103.98422640116395,24.115231234037722,91,successful trials only
no_wall,frenet_corridor_mppi,steps,steps,59.32967032967033,7.49674736143756,91,successful trials only
no_wall,frenet_corridor_mppi,runtime_per_step_sec,runtime_per_step_sec,0.005292430907487187,0.0005406879175646041,91,successful trials only
no_wall,frenet_corridor_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.565105618742696,0.22073328164114409,91,successful trials only
no_wall,frenet_corridor_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,,,0,successful trials only
no_wall,gaussian_prior_mppi,control_effort,control_effort,99.99678048284834,20.34622562496239,96,successful trials only
no_wall,gaussian_prior_mppi,steps,steps,58.479166666666664,7.205230799717174,96,successful trials only
no_wall,gaussian_prior_mppi,runtime_per_step_sec,runtime_per_step_sec,0.0062630986073271945,0.002748777014475676,96,successful trials only
no_wall,gaussian_prior_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.5268922294554846,0.1935660682819404,96,successful trials only
no_wall,gaussian_prior_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,,,0,successful trials only
no_wall,standard_mppi,control_effort,control_effort,105.16711316979179,33.01645979736034,35,successful trials only
no_wall,standard_mppi,steps,steps,47.48571428571429,8.297311501399745,35,successful trials only
no_wall,standard_mppi,runtime_per_step_sec,runtime_per_step_sec,0.0013904263548692685,7.830805290558441e-05,35,successful trials only
no_wall,standard_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.6650908973567186,0.3217300524144579,35,successful trials only
no_wall,standard_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,,,0,successful trials only
static_wall,control_bank_mppi,control_effort,control_effort,91.28262346144663,25.463926573264747,392,successful trials only
static_wall,control_bank_mppi,steps,steps,57.798469387755105,6.972558392818233,392,successful trials only
static_wall,control_bank_mppi,runtime_per_step_sec,runtime_per_step_sec,0.007065328710130447,0.001265944713600452,392,successful trials only
static_wall,control_bank_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.6571638545441595,0.2865706691893753,392,successful trials only
static_wall,control_bank_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,0.6571638545441595,0.2865706691893753,392,successful trials only
static_wall,corridor_prior_mppi,control_effort,control_effort,97.60302093713737,26.229983154897234,388,successful trials only
static_wall,corridor_prior_mppi,steps,steps,58.81701030927835,10.072605637088493,388,successful trials only
static_wall,corridor_prior_mppi,runtime_per_step_sec,runtime_per_step_sec,0.005568747144997916,0.0010897206164907174,388,successful trials only
static_wall,corridor_prior_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.6985510506188645,0.23692484512741288,388,successful trials only
