condition,scenario_id,variant,trials,successes,success_rate,collision_rate,not_reaching_rate,exposed_rate,mean_activation_step,mean_activation_progress,mean_min_clearance_after_block,mean_final_dist
dynamic_wall,wall_0_1,control_bank_mppi,100,91,0.91,0.0,0.09,1.0,13.99,0.2509280104871035,0.1469535816333679,0.8674831050482296
dynamic_wall,wall_0_1,corridor_prior_mppi,100,89,0.89,0.0,0.11,1.0,13.84,0.24997973510413488,0.17748412360202676,0.9560517564238704
dynamic_wall,wall_0_1,frenet_corridor_mppi,100,90,0.9,0.0,0.1,1.0,13.77,0.24991114381771307,0.17929775525703967,0.8769784763738662
dynamic_wall,wall_0_1,full_swarm_prior_mppi,100,92,0.92,0.0,0.08,1.0,13.98,0.24759902625131303,0.17444181122437047,0.8156658795531726
dynamic_wall,wall_0_1,gaussian_prior_mppi,100,92,0.92,0.0,0.08,1.0,13.98,0.24759902625131303,0.17444181122437047,0.8156658795531726
dynamic_wall,wall_0_1,heatmap_prior_mppi,100,89,0.89,0.0,0.11,1.0,13.84,0.24997973510413488,0.17748412360202676,0.9560517564238704
dynamic_wall,wall_0_1,mode_selecting_corridor_mppi,100,90,0.9,0.0,0.1,1.0,13.71,0.2500099546805977,0.16509356533128222,0.8800660359181025
dynamic_wall,wall_0_1,mode_selecting_homotopy_mppi,100,90,0.9,0.0,0.1,1.0,13.71,0.2500099546805977,0.16509356533128222,0.8800660359181025
dynamic_wall,wall_0_1,standard_mppi,100,19,0.19,0.0,0.81,0.76,10.921052631578947,0.2431984471049497,0.0627224561638041,6.301622397573653
dynamic_wall,wall_0_2,control_bank_mppi,100,55,0.55,0.0,0.45,1.0,13.99,0.2511583941032625,0.07631878982256576,3.6387266714863147
dynamic_wall,wall_0_2,corridor_prior_mppi,100,38,0.38,0.0,0.62,1.0,13.76,0.24841127753409062,0.08174765686664971,4.798343846924299
dynamic_wall,wall_0_2,frenet_corridor_mppi,100,43,0.43,0.0,0.57,1.0,13.59,0.246855328805387,0.08084128120197263,4.36644588500472
dynamic_wall,wall_0_2,full_swarm_prior_mppi,100,46,0.46,0.0,0.54,1.0,13.88,0.24590458288854602,0.08080513780014677,3.948542089555576
dynamic_wall,wall_0_2,gaussian_prior_mppi,100,46,0.46,0.0,0.54,1.0,13.88,0.24590458288854602,0.08080513780014677,3.948542089555576
dynamic_wall,wall_0_2,heatmap_prior_mppi,100,38,0.38,0.0,0.62,1.0,13.76,0.24841127753409062,0.08174765686664971,4.798343846924299
dynamic_wall,wall_0_2,mode_selecting_corridor_mppi,100,44,0.44,0.01,0.55,1.0,13.56,0.24723876401887643,0.07622946537273098,4.297007491719872
dynamic_wall,wall_0_2,mode_selecting_homotopy_mppi,100,44,0.44,0.01,0.55,1.0,13.56,0.24723876401887643,0.07622946537273098,4.297007491719872
dynamic_wall,wall_0_2,standard_mppi,100,3,0.03,0.0,0.97,0.8,11.3,0.24104429832747282,0.04805664383697763,8.013568114017037
dynamic_wall,wall_1_2,control_bank_mppi,100,97,0.97,0.0,0.03,0.99,14.393939393939394,0.2595729449098815,0.15571570951839955,0.4986918582475669
dynamic_wall,wall_1_2,corridor_prior_mppi,100,99,0.99,0.0,0.01,1.0,14.39,0.2596420547929706,0.22027250264595766,0.2828797416206991
dynamic_wall,wall_1_2,frenet_corridor_mppi,100,99,0.99,0.0,0.01,1.0,14.3,0.2595644511137047,0.2142825712635053,0.285574284018454
dynamic_wall,wall_1_2,full_swarm_prior_mppi,100,100,1.0,0.0,0.0,1.0,14.6,0.2583787757276121,0.21255518290224418,0.280963914101768
dynamic_wall,wall_1_2,gaussian_prior_mppi,100,100,1.0,0.0,0.0,1.0,14.6,0.2583787757276121,0.21255518290224418,0.280963914101768
dynamic_wall,wall_1_2,heatmap_prior_mppi,100,99,0.99,0.0,0.01,1.0,14.39,0.2596420547929706,0.22027250264595766,0.2828797416206991
dynamic_wall,wall_1_2,mode_selecting_corridor_mppi,100,99,0.99,0.0,0.01,1.0,14.25,0.26087358216392037,0.20629068607368498,0.28199901309307246
dynamic_wall,wall_1_2,mode_selecting_homotopy_mppi,100,99,0.99,0.0,0.01,1.0,14.25,0.26087358216392037,0.20629068607368498,0.28199901309307246
dynamic_wall,wall_1_2,standard_mppi,100,23,0.23,0.0,0.77,0.64,13.296875,0.2604789079092258,0.08233771280975147,6.044615641933157
dynamic_wall,walls_0_1__1_2,control_bank_mppi,100,70,0.7,0.0,0.3,1.0,13.99,0.2509280104871035,0.10817198108953656,1.8551035397806137
dynamic_wall,walls_0_1__1_2,corridor_prior_mppi,100,65,0.65,0.0,0.35,1.0,13.84,0.24997973510413488,0.11879641566561686,2.016899772361999
dynamic_wall,walls_0_1__1_2,frenet_corridor_mppi,100,67,0.67,0.0,0.33,1.0,13.77,0.24991114381771307,0.12815159301612472,1.9163764958295386
dynamic_wall,walls_0_1__1_2,full_swarm_prior_mppi,100,64,0.64,0.0,0.36,1.0,13.98,0.24759902625131303,0.12166542767822762,2.107207966378195
dynamic_wall,walls_0_1__1_2,gaussian_prior_mppi,100,64,0.64,0.0,0.36,1.0,13.98,0.24759902625131303,0.12166542767822762,2.107207966378195
dynamic_wall,walls_0_1__1_2,heatmap_prior_mppi,100,65,0.65,0.0,0.35,1.0,13.84,0.24997973510413488,0.11879641566561686,2.016899772361999
dynamic_wall,walls_0_1__1_2,mode_selecting_corridor_mppi,100,61,0.61,0.0,0.39,1.0,13.71,0.2500099546805977,0.10557025168442052,2.2209860112453477
