condition,variant,failure_reason,count,percent_of_failures,failure_trials,total_trials_with_outcome
dynamic_wall,control_bank_mppi,not_reaching,87,100.0,87,400
dynamic_wall,corridor_prior_mppi,not_reaching,109,100.0,109,400
dynamic_wall,frenet_corridor_mppi,not_reaching,101,100.0,101,400
dynamic_wall,full_swarm_prior_mppi,not_reaching,98,100.0,98,400
dynamic_wall,gaussian_prior_mppi,not_reaching,98,100.0,98,400
dynamic_wall,heatmap_prior_mppi,not_reaching,109,100.0,109,400
dynamic_wall,mode_selecting_corridor_mppi,collision,1,0.9433962264150944,106,400
dynamic_wall,mode_selecting_corridor_mppi,not_reaching,105,99.05660377358491,106,400
dynamic_wall,mode_selecting_homotopy_mppi,collision,1,0.9433962264150944,106,400
dynamic_wall,mode_selecting_homotopy_mppi,not_reaching,105,99.05660377358491,106,400
dynamic_wall,standard_mppi,collision,1,0.2840909090909091,352,400
dynamic_wall,standard_mppi,not_reaching,351,99.7159090909091,352,400
no_wall,control_bank_mppi,not_reaching,4,100.0,4,100
no_wall,corridor_prior_mppi,not_reaching,1,100.0,1,100
no_wall,frenet_corridor_mppi,not_reaching,1,100.0,1,100
no_wall,heatmap_prior_mppi,not_reaching,1,100.0,1,100
no_wall,mode_selecting_corridor_mppi,not_reaching,3,100.0,3,100
no_wall,mode_selecting_homotopy_mppi,not_reaching,3,100.0,3,100
no_wall,standard_mppi,not_reaching,71,100.0,71,100
static_wall,control_bank_mppi,not_reaching,3,100.0,3,400
static_wall,corridor_prior_mppi,not_reaching,9,100.0,9,400
static_wall,frenet_corridor_mppi,not_reaching,6,100.0,6,400
static_wall,full_swarm_prior_mppi,not_reaching,12,100.0,12,400
static_wall,gaussian_prior_mppi,not_reaching,12,100.0,12,400
static_wall,heatmap_prior_mppi,not_reaching,9,100.0,9,400
static_wall,mode_selecting_corridor_mppi,not_reaching,4,100.0,4,400
static_wall,mode_selecting_homotopy_mppi,not_reaching,4,100.0,4,400
static_wall,standard_mppi,collision,1,0.2824858757062147,354,400
static_wall,standard_mppi,not_reaching,353,99.71751412429379,354,400
