condition,variant,metric,source_column,mean,std,n,sample_scope
dynamic_wall,control_bank_mppi,control_effort,control_effort,278.22424287074136,35.368371142713606,4,successful trials only
dynamic_wall,control_bank_mppi,steps,steps,58.0,4.163331998932265,4,successful trials only
dynamic_wall,control_bank_mppi,runtime_per_step_sec,runtime_per_step_sec,0.006759170412446675,0.00148873214658184,4,all trials with valid values
dynamic_wall,control_bank_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.30994998411058833,0.10219523775970273,4,successful trials only
dynamic_wall,control_bank_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,0.2845923649320518,0.1256107817281332,4,successful trials only
dynamic_wall,corridor_prior_mppi,control_effort,control_effort,187.09126645747202,21.710364615873907,3,successful trials only
dynamic_wall,corridor_prior_mppi,steps,steps,85.66666666666667,8.736894948054106,3,successful trials only
dynamic_wall,corridor_prior_mppi,runtime_per_step_sec,runtime_per_step_sec,0.0106938171064967,0.0029042173268673107,4,all trials with valid values
dynamic_wall,corridor_prior_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.2809884348746455,0.013802386491169152,3,successful trials only
dynamic_wall,corridor_prior_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,0.3156080049440841,0.013395096849496827,3,successful trials only
dynamic_wall,frenet_corridor_mppi,control_effort,control_effort,177.90034554090073,24.569874197611895,4,successful trials only
dynamic_wall,frenet_corridor_mppi,steps,steps,91.25,8.139410298049853,4,successful trials only
dynamic_wall,frenet_corridor_mppi,runtime_per_step_sec,runtime_per_step_sec,0.012824409603453749,0.002858711391058137,4,all trials with valid values
dynamic_wall,frenet_corridor_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.2849255453540841,0.03650989602093828,4,successful trials only
dynamic_wall,frenet_corridor_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,0.30186302993878394,0.03904138180381889,4,successful trials only
