condition,variant,trials,Success,Failure reasons,Control roughness overall (mean/transition),Control roughness after wall (mean/transition),Control effort,Number of steps,Average time per step (s)
dynamic_wall,control_bank_mppi,400,313/400 (78.2%),not_reaching: 87 (100.0%),0.267 +/- 0.064 (n=313),0.224 +/- 0.082 (n=313),258.683 +/- 31.309 (n=313),53.620 +/- 7.447 (n=313),0.006 +/- 0.001 (n=400)
dynamic_wall,corridor_prior_mppi,400,291/400 (72.8%),not_reaching: 109 (100.0%),0.312 +/- 0.042 (n=291),0.347 +/- 0.048 (n=291),192.795 +/- 30.303 (n=291),90.876 +/- 9.864 (n=291),0.009 +/- 0.003 (n=400)
dynamic_wall,frenet_corridor_mppi,400,299/400 (74.8%),not_reaching: 101 (100.0%),0.277 +/- 0.037 (n=299),0.294 +/- 0.042 (n=299),185.634 +/- 30.181 (n=299),90.826 +/- 9.274 (n=299),0.012 +/- 0.003 (n=400)
dynamic_wall,full_swarm_prior_mppi,400,302/400 (75.5%),not_reaching: 98 (100.0%),0.312 +/- 0.041 (n=302),0.341 +/- 0.047 (n=302),187.894 +/- 30.903 (n=302),97.368 +/- 10.656 (n=302),0.009 +/- 0.003 (n=400)
dynamic_wall,gaussian_prior_mppi,400,302/400 (75.5%),not_reaching: 98 (100.0%),0.312 +/- 0.041 (n=302),0.341 +/- 0.047 (n=302),187.894 +/- 30.903 (n=302),97.368 +/- 10.656 (n=302),0.009 +/- 0.003 (n=400)
dynamic_wall,heatmap_prior_mppi,400,291/400 (72.8%),not_reaching: 109 (100.0%),0.312 +/- 0.042 (n=291),0.347 +/- 0.048 (n=291),192.795 +/- 30.303 (n=291),90.876 +/- 9.864 (n=291),0.009 +/- 0.003 (n=400)
dynamic_wall,mode_selecting_corridor_mppi,400,294/400 (73.5%),collision: 1 (0.9%); not_reaching: 105 (99.1%),0.381 +/- 0.041 (n=294),0.424 +/- 0.049 (n=294),233.699 +/- 33.371 (n=294),72.177 +/- 11.883 (n=294),0.009 +/- 0.003 (n=400)
dynamic_wall,mode_selecting_homotopy_mppi,400,294/400 (73.5%),collision: 1 (0.9%); not_reaching: 105 (99.1%),0.381 +/- 0.041 (n=294),0.424 +/- 0.049 (n=294),233.699 +/- 33.371 (n=294),72.177 +/- 11.883 (n=294),0.009 +/- 0.003 (n=400)
dynamic_wall,standard_mppi,400,48/400 (12.0%),collision: 1 (0.3%); not_reaching: 351 (99.7%),0.243 +/- 0.089 (n=48),0.201 +/- 0.106 (n=48),262.902 +/- 8.615 (n=48),42.958 +/- 13.502 (n=48),0.002 +/- 0.001 (n=400)
no_wall,control_bank_mppi,100,96/100 (96.0%),not_reaching: 4 (100.0%),0.295 +/- 0.068 (n=96),-,243.510 +/- 24.327 (n=96),50.854 +/- 6.507 (n=96),0.003 +/- 0.000 (n=100)
no_wall,corridor_prior_mppi,100,99/100 (99.0%),not_reaching: 1 (100.0%),0.314 +/- 0.038 (n=99),-,176.210 +/- 23.455 (n=99),85.384 +/- 8.068 (n=99),0.003 +/- 0.000 (n=100)
no_wall,frenet_corridor_mppi,100,99/100 (99.0%),not_reaching: 1 (100.0%),0.271 +/- 0.037 (n=99),-,169.745 +/- 24.654 (n=99),86.465 +/- 8.396 (n=99),0.005 +/- 0.001 (n=100)
no_wall,full_swarm_prior_mppi,100,100/100 (100.0%),none,0.306 +/- 0.035 (n=100),-,171.892 +/- 26.595 (n=100),93.610 +/- 10.594 (n=100),0.003 +/- 0.001 (n=100)
no_wall,gaussian_prior_mppi,100,100/100 (100.0%),none,0.306 +/- 0.035 (n=100),-,171.892 +/- 26.595 (n=100),93.610 +/- 10.594 (n=100),0.003 +/- 0.000 (n=100)
no_wall,heatmap_prior_mppi,100,99/100 (99.0%),not_reaching: 1 (100.0%),0.314 +/- 0.038 (n=99),-,176.210 +/- 23.455 (n=99),85.384 +/- 8.068 (n=99),0.003 +/- 0.000 (n=100)
no_wall,mode_selecting_corridor_mppi,100,97/100 (97.0%),not_reaching: 3 (100.0%),0.375 +/- 0.042 (n=97),-,219.067 +/- 24.006 (n=97),67.639 +/- 11.125 (n=97),0.003 +/- 0.000 (n=100)
no_wall,mode_selecting_homotopy_mppi,100,97/100 (97.0%),not_reaching: 3 (100.0%),0.375 +/- 0.042 (n=97),-,219.067 +/- 24.006 (n=97),67.639 +/- 11.125 (n=97),0.003 +/- 0.000 (n=100)
no_wall,standard_mppi,100,29/100 (29.0%),not_reaching: 71 (100.0%),0.274 +/- 0.108 (n=29),-,258.900 +/- 7.961 (n=29),46.586 +/- 17.604 (n=29),0.001 +/- 0.000 (n=100)
static_wall,control_bank_mppi,400,397/400 (99.2%),not_reaching: 3 (100.0%),0.270 +/- 0.073 (n=397),0.270 +/- 0.073 (n=397),257.514 +/- 28.174 (n=397),50.889 +/- 5.337 (n=397),0.007 +/- 0.001 (n=400)
static_wall,corridor_prior_mppi,400,391/400 (97.8%),not_reaching: 9 (100.0%),0.312 +/- 0.034 (n=391),0.312 +/- 0.034 (n=391),191.211 +/- 31.665 (n=391),90.977 +/- 10.804 (n=391),0.009 +/- 0.003 (n=400)
