condition,variant,swarm_seed,controller_seed,seed,obstacle_layout_seed,obstacle_center_permutation,scenario_id,wall_pairs,wall_count,wall_width,wall_extension,trigger_progress,activation_preview_clearance,activation_step,activation_progress,activation_reason,activation_clearance,block_step,success,failure_reason,reached_goal,collision,not_reaching,first_collision_step,collision_after_block,exposed_to_blocker,goal_reached_before_block,selected_mode_switches,last_selected_mode,final_dist,min_clearance_dynamic,min_clearance_after_block,path_length,path_length_after_block,control_effort,control_effort_after_block,control_smoothness,control_smoothness_after_block,steps,steps_after_block,runtime_sec,runtime_per_step_sec,goal_tolerance,error
no_wall,full_swarm_prior_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,no_wall,,0,0.0,0.0,,0.75,,,,,,True,,True,False,False,,False,False,False,32,10,0.25858776269710687,0.270239342697092,nan,12.15450308453785,nan,146.9553618107008,nan,20.217007636161174,nan,84,0,1.0915081940001983,0.012994145166669028,0.3,
no_wall,gaussian_prior_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,no_wall,,0,0.0,0.0,,0.75,,,,,,True,,True,False,False,,False,False,False,32,10,0.25858776269710687,0.270239342697092,nan,12.15450308453785,nan,146.9553618107008,nan,20.217007636161174,nan,84,0,0.25599744700048177,0.0030475886547676402,0.3,
no_wall,corridor_prior_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,no_wall,,0,0.0,0.0,,0.75,,,,,,True,,True,False,False,,False,False,False,31,1,0.2653377770461855,0.25117825156991225,nan,12.248588954224413,nan,164.92099033482987,nan,20.31003498427658,nan,76,0,0.24552363899965712,0.0032305741973639094,0.3,
no_wall,frenet_corridor_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,no_wall,,0,0.0,0.0,,0.75,,,,,,True,,True,False,False,,False,False,False,37,9,0.28449596757538687,0.24859777066669986,nan,12.228378955533804,nan,155.22595153107812,nan,18.15319289884737,nan,81,0,0.46723801199914305,0.005768370518507939,0.3,
no_wall,heatmap_prior_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,no_wall,,0,0.0,0.0,,0.75,,,,,,True,,True,False,False,,False,False,False,31,1,0.2653377770461855,0.25117825156991225,nan,12.248588954224413,nan,164.92099033482987,nan,20.31003498427658,nan,76,0,0.24623117400005867,0.0032398838684218247,0.3,
no_wall,control_bank_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,no_wall,,0,0.0,0.0,,0.75,,,,,,True,,True,False,False,,False,False,False,0,,0.2990704868472986,0.11587999535812676,nan,12.203598157630214,nan,229.24957746632558,nan,19.82611401776498,nan,51,0,0.27036809399942285,0.005301335176459272,0.3,
no_wall,mode_selecting_homotopy_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,no_wall,,0,0.0,0.0,,0.75,,,,,,True,,True,False,False,,False,False,False,23,0,0.2654708123243404,0.2726407949118196,nan,12.312137821379475,nan,208.35753162213274,nan,22.104921168598445,nan,58,0,0.1965091019992542,0.0033880879655043827,0.3,
no_wall,mode_selecting_corridor_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,no_wall,,0,0.0,0.0,,0.75,,,,,,True,,True,False,False,,False,False,False,23,0,0.2654708123243404,0.2726407949118196,nan,12.312137821379475,nan,208.35753162213274,nan,22.104921168598445,nan,58,0,0.1996728880003502,0.0034426360000060384,0.3,
no_wall,standard_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,no_wall,,0,0.0,0.0,,0.75,,,,,,False,not_reaching,False,False,True,,False,False,False,0,,6.823132940991373,0.021344994364235148,nan,4.901157002688748,nan,125.7941277747149,nan,57.67378073651035,nan,130,0,0.08094281000012415,0.0006226370000009551,0.3,
dynamic_wall,full_swarm_prior_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_1,0-1,1,0.4,0.2,0.25,0.75,13,0.2552888087001936,progress,0.7836824771680506,13,True,,True,False,False,,False,True,False,47,7,0.286429615029669,0.16125232893394859,0.16125232893394859,12.620755799435722,9.713100046681467,163.6891444821654,118.1783492013735,28.00082348417487,27.191113620604966,94,81,0.9640082589994563,0.010255407010632513,0.3,
